date,sales,revenue
2020-01-01,100,1000
2020-02-01,120,1200
2020-03-01,150,1500
2020-04-01,130,1300
2020-05-01,160,1600
2020-06-01,180,1800
2020-07-01,200,2000
2020-08-01,190,1900
2020-09-01,210,2100
2020-10-01,220,2200
2020-11-01,250,2500
2020-12-01,280,2800
2021-01-01,110,1100
2021-02-01,125,1250
2021-03-01,155,1550
2021-04-01,135,1350
2021-05-01,165,1650
2021-06-01,185,1850
2021-07-01,205,2050
2021-08-01,195,1950
2021-09-01,215,2150
2021-10-01,225,2250
2021-11-01,255,2550
2021-12-01,285,2850
2022-01-01,115,1150
2022-02-01,130,1300
2022-03-01,160,1600
2022-04-01,140,1400
2022-05-01,170,1700
2022-06-01,190,1900
2022-07-01,210,2100
2022-08-01,200,2000
2022-09-01,220,2200
2022-10-01,230,2300
2022-11-01,260,2600
2022-12-01,290,2900
2023-01-01,120,1200
2023-02-01,135,1350
2023-03-01,165,1650
2023-04-01,145,1450
2023-05-01,175,1750
2023-06-01,195,1950
2023-07-01,215,2150
2023-08-01,205,2050
2023-09-01,225,2250
2023-10-01,235,2350
2023-11-01,265,2650
2023-12-01,295,2950
2024-01-01,125,1250
2024-02-01,140,1400
2024-03-01,170,1700
2024-04-01,150,1500
2024-05-01,180,1800
2024-06-01,200,2000
2024-07-01,220,2200
2024-08-01,210,2100
2024-09-01,230,2300
2024-10-01,240,2400
2024-11-01,270,2700
2024-12-01,300,3000
