Date,Product,Sales
2023-01-01,Laptop,450
2023-02-01,Laptop,480
2023-03-01,Laptop,510
2023-04-01,Laptop,520
2023-05-01,Laptop,550
2023-06-01,Laptop,580
2023-07-01,Laptop,600
2023-08-01,Laptop,610
2023-09-01,Laptop,640
2023-10-01,Laptop,670
2023-11-01,Laptop,700
2023-12-01,Laptop,750
2024-01-01,Laptop,680
2024-02-01,Laptop,710
2024-03-01,Laptop,740
2023-01-01,Smartphone,320
2023-02-01,Smartphone,340
2023-03-01,Smartphone,360
2023-04-01,Smartphone,375
2023-05-01,Smartphone,390
2023-06-01,Smartphone,410
2023-07-01,Smartphone,430
2023-08-01,Smartphone,445
2023-09-01,Smartphone,465
2023-10-01,Smartphone,485
2023-11-01,Smartphone,510
2023-12-01,Smartphone,540
2024-01-01,Smartphone,480
2024-02-01,Smartphone,505
2024-03-01,Smartphone,530
2023-01-01,Tablet,200
2023-02-01,Tablet,210
2023-03-01,Tablet,225
2023-04-01,Tablet,235
2023-05-01,Tablet,250
2023-06-01,Tablet,265
2023-07-01,Tablet,280
2023-08-01,Tablet,290
2023-09-01,Tablet,310
2023-10-01,Tablet,330
2023-11-01,Tablet,350
2023-12-01,Tablet,375
2024-01-01,Tablet,320
2024-02-01,Tablet,340
2024-03-01,Tablet,360
2023-01-01,Headphones,150
2023-02-01,Headphones,165
2023-03-01,Headphones,180
2023-04-01,Headphones,190
2023-05-01,Headphones,205
2023-06-01,Headphones,220
2023-07-01,Headphones,235
2023-08-01,Headphones,245
2023-09-01,Headphones,265
2023-10-01,Headphones,285
2023-11-01,Headphones,305
2023-12-01,Headphones,330
2024-01-01,Headphones,280
2024-02-01,Headphones,300
2024-03-01,Headphones,320
